Date,Close_Splits,Volume_Splits,Open_Splits,High_Splits,Low_Splits,Open_NoSplits,High_NoSplits,Low_NoSplits,Close_NoSplits,Volume_NoSplits,Daily_Return,Price_Range,Price_Change,Profit,pred_constant,error,squared_error,pred_linear,error_linear,squared_error_linear,Prev_Close
2015-12-28, $106.82,26639930, $107.59, $107.69, $106.1807,24.25819738800715,24.28074565347477,23.9402871431691,24.08458709716797,106816800,-1.1200680078206515,0.3404585103056732,-0.1736102908391821,False,26.17548033563116,-2.0908932384631918,4.371834534651094,24.345043664038513,-0.26045656687054475,0.06783762322599055,24.517486572265625
2015-12-24, $108.03,13596680, $109, $109, $107.95,24.576111739027382,24.576111739027382,24.33936869016207,24.357406616210938,54281600,-0.5340194587400204,0.2367430488653141,-0.2187051228164449,False,26.17548033563116,-1.818073719420223,3.3053920492464837,24.400142348755143,-0.04273573254420526,0.0018263428360898448,24.08458709716797
2015-12-23, $108.61,32618140, $107.27, $108.85, $107.2,24.186049021736263,24.54229030947934,24.17026626697252,24.488178253173828,130629600,1.2869477792518014,0.3720240425068226,0.302129231437565,True,26.17548033563116,-1.6873020824573324,2.8469883174648505,24.24204420044968,0.24613405272414823,0.060581971910413784,24.357406616210938
2015-12-22, $107.23,32728460, $107.4, $107.72, $106.451,24.21536177334121,24.28751175720932,24.001165272345258,24.177032470703125,131157600,-0.0931858323170442,0.2863464848640618,-0.0383293026380862,False,26.17548033563116,-1.9984478649280355,3.9937938688354238,24.30691892519874,-0.1298864544956153,0.016870491061441548,24.488178253173828
2015-12-21, $107.33,47507230, $107.28, $107.37, $105.57,24.18830891790171,24.208602018100272,23.802757216044903,24.199583053588867,190362400,1.2260772326134315,0.4058448020553697,0.0112741356871559,True,26.17548033563116,-1.9758972820422933,3.904170069182122,24.180325657939925,0.019257395648942577,0.0003708472871799125,24.177032470703125
2015-12-18, $106.03,96197190, $108.91, $109.52, $105.81,24.55582289566044,24.693357365445674,23.856867810785342,23.906471252441406,385813200,-2.706953145024571,0.8364895546603321,-0.6493516432190312,False,26.17548033563116,-2.2690090831897543,5.148402219597609,24.427232898796376,-0.5207616463549698,0.2711926923143386,24.199583053588867
2015-12-17, $108.98,44654830, $112.02, $112.25, $108.98,25.257037584077185,25.308896212934727,24.57161331176757,24.57161331176757,179091200,-2.119601947335348,0.737282901167152,-0.6854242723096107,False,26.17548033563116,-1.6038670238635895,2.572389430237048,24.78057546735466,-0.20896215558708775,0.043665182467602266,23.906471252441406
2015-12-16, $111.34,56157370, $111.07, $111.99, $108.8,25.042836222258064,25.250267243532736,24.53102246234467,25.10371208190918,224954000,0.7693076269638999,0.7192447811880669,0.0608758596511158,True,26.17548033563116,-1.0717682537219808,1.1486871896862643,24.87428367697332,0.22942840493585948,0.05263739299141271,24.57161331176757
2015-12-15, $110.49,53168580, $111.94, $112.8, $110.35,25.23899267317512,25.43289609134729,24.880496178576283,24.91206169128418,213292400,-1.7692093347527749,0.5523999127710049,-0.3269309818909391,False,26.17548033563116,-1.2634186443469808,1.5962266708835628,25.18825472513379,-0.2761930338496086,0.07628259194705103,25.10371208190918
2015-12-14, $112.48,64678220, $112.18, $112.68, $109.79,25.29310501557588,25.40583948226677,24.754234402408738,25.360746383666992,257274800,-0.6184804009721989,0.6516050798580331,0.0676413680911132,True,26.17548033563116,-0.8147339519641683,0.6637914124831518,25.15630740076498,0.2044389829020119,0.04179529773000912,24.91206169128418
